phase,database,code,citation
Actinolite,ICSD,68319,
Aegirine,ICSD,156560,
Akermanite,ICSD,158177,
Albite,ICSD,68913,
AliteM3,ICSD,94742,
Almandine,ICSD,71895,
AluminateC,ICSD,1841,
AluminateO,ICSD,1880,
Aluminium,ICSD,606001,
Amorphous,,,
Analcime,ICSD,156593,
Anatase,ICSD,9852,
Andalusite,ICSD,84613,
Anglesite,ICSD,92609,
Anhydrite,ICSD,16382,
Ankerite,ICSD,66338,
Anorthite,ICSD,34942,
Apatite,ICSD,26204,
Aphthitalite,ICSD,26018,
Aragonite,ICSD,157992,
Arcanite,ICSD,2827,
Augite,ICSD,90143,
Austenite,ICSD,186833,
Azurite,ICSD,158577,
Baricite,ICSD,202099,
Barite,ICSD,16904,
Bassanite,ICSD,79529,
Bayerite,ICSD,26830,
Belite Alpha H,ICSD,82997,
Belite Beta,ICSD,81096,
Biotite,ICSD,95359,
Boehmite,ICSD,41215,
Bornite,ICSD,1963,
Bredigite,ICSD,9828,
Brookite,ICSD,36408,
Brownmillerite,ICSD,2842,
Brucite,ICSD,79031,
Brushite,ICSD,16132,
Ca2P2O7,ICSD,14313,
Calciolangbeinite,ICSD,290622,
Calcite,ICSD,73446,
Calcite-Superlorentz,ICSD,73446,
Caledonite,ICSD,164674,
Cassiterite,ICSD,262768,
Celestine,ICSD,22322,
Cementite,AMCSD,13523,
Cerussite,ICSD,6178,
Chalcopyrite,ICSD,2518,
Chamosite,ICSD,80080,
Chlorite,ICSD,164234,
Chlorite Pawley,ICSD,164234,
Chloroxiphite,ICSD,164137,
Chromite,ICSD,171121,
Chrysotile,ICSD,77747,
Coesite,ICSD,100749,
Copper,ICSD,53247,
Corundum,ICSD,51687,
Cotunnite,ICSD,43344,
Covellite,ICSD,63327,
Cristobalite,ICSD,75483,
Cubanite,ICSD,42104,
Cuprite,ICSD,63281,
Diaboleite,ICSD,15382,
Diamond,ICSD,52054,
Diaspore,ICSD,29344,
Dickite,ICSD,98132,
Diopside,ICSD,17043,
Dolomite,ICSD,100680,
Dolomite-Ankerite SS,ICSD,100680,
Dolomite-Superlorentz,ICSD,100680,
Ellestadite,ICSD,262245,
Enstatite,ICSD,9328,
Enstatite-Ferrosilite SS,ICSD,9328,
Epidote,ICSD,168464,
Epsomite,ICSD,16595,
Eskolaite,ICSD,75577,
Ettringite,ICSD,155395,
Faujasite,ICSD,40931,
Fayalite,ICSD,54029,
Ferrosilite,ICSD,34858,
Fluorite,ICSD,60559,
Forsterite,ICSD,9685,
Forsterite-Fayalite SS,ICSD,9685,
Franklinite,ICSD,91827,
Galena,ICSD,63095,
Gehlenite,ICSD,158171,
Ghiaraite,AMCSD,19787,
Gibbsite,ICSD,184708,
Goethite,ICSD,245057,
Goslarite,ICSD,107287,
Graphite,ICSD,76767,
Griceite,ICSD,41409,
Grossular,ICSD,83461,
Grunerite,ICSD,24214,
Gypsum,ICSD,151692,
Halite,ICSD,181148,
Hematite,ICSD,40142,
Hercynite,ICSD,40093,
Heulandite,ICSD,37064,
Hornblende,ICSD,158242,
Hydrocalumite,ICSD,51890,
Hydrocerussite,ICSD,280932,
Hydrotalcite,ICSD,81963,
Illite,ICSD,90144,
Illite Pawley,ICSD,90144,
Ilmenite,ICSD,30664,
Iron,ICSD,76747,
Jarosite,ICSD,166799,
Jasmundite,ICSD,26407,
K2ZnCl4,,,
Kaolinite 1M,ICSD,63192,
Kaolinite 2M,,,
Kieserite,ICSD,68345,
LaB6,ICSD,248440,
Labradorite,ICSD,100235,
Langite,ICSD,30724,
Laurionite,ICSD,28035,
Lead,ICSD,96501,
Lepidocrocite,ICSD,108876,
Leucite,ICSD,161630,
Lime,ICSD,163628,
Litharge,COD,9012700,
Lizardite,ICSD,202358,
Maghemite,ICSD,79196,
Magnesioferrite,ICSD,41290,
Magnesite,ICSD,73731,
Magnesite-Siderite,ICSD,73731,
Magnetite,ICSD,158504,
Malachite,ICSD,262794,
Marcasite,ICSD,42415,
Massicot,ICSD,15403,
Mayenite,ICSD,241243,
MCPM,ICSD,133,
Melanterite,ICSD,157296,
Mendipite,ICSD,93003,
Merwinite,ICSD,26002,
Microcline,ICSD,83531,
Minium,ICSD,42484,
Monetite,ICSD,2745,
Montmorillonite,ICSD,51636,
Mullite,ICSD,75305,
Muscovite,ICSD,180081,
Natron,ICSD,97922,
Newberyite,ICSD,31281,
Nordstrandite,ICSD,16018,
Oldhamite,ICSD,30236,
Orthoclase,AMCSD,20540,
Otavite,ICSD,156740,
Paralaurionite,ICSD,74291,
PbS2O3,ICSD,69532,
PbSO3,ICSD,68889,
Periclase,ICSD,159367,
Perovskite,ICSD,62149,
Phosgenite,ICSD,4240,
Pigeonite-C,ICSD,9248,
Pigeonite-P,ICSD,9247,
Portlandite,ICSD,64950,
Prehnite,ICSD,164238,
Pseudoboleite,ICSD,67680,
Pumpellyite,ICSD,158186,
Pyrite,ICSD,15012,
Pyrope,ICSD,71892,
Quartz,ICSD,67121,
Qusongite,ICSD,246149,
Riebeckite,ICSD,200423,
Rozenite,ICSD,23912,
Rutile,ICSD,36412,
Sanidine,ICSD,90141,
Scotlandite,ICSD,30993,
Siderite,ICSD,100678,
Silicon,ICSD,51688,
Sillimanite,ICSD,66330,
Smithsonite,ICSD,100679,
Spessartine,ICSD,83458,
Sphalerite,ICSD,77090,
Spinel,ICSD,77583,
Spurrite,ICSD,156625,
Staurolite,ICSD,53148,
Stilbite,ICSD,83469,
Stishovite,ICSD,40098,
Sylvite,ICSD,165593,
Syngenite,ICSD,157072,
Taenite,ICSD,103555,
Talc,ICSD,100682,
TCP Alpha,ICSD,923,
Tenite-Superstructure,ICSD,56386,
Tenorite,ICSD,67850,
Thaumasite,ICSD,185680,
Titanite,ICSD,50144,
Tobermorite11A,ICSD,92942,
Tridymite,ICSD,34867,
Troilite,ICSD,35005,
Trona,ICSD,192710,
Vaterite,ICSD,181959,
Vermiculite,ICSD,192347,
Vivianite,ICSD,423390,
Wadalite,ICSD,151561,
Weddellite,ICSD,192661,
Whewellite,ICSD,153499,
"Whitlockite (Ca,Mg)3(PO4)2",ICSD,1490,
Whitlockite Ca3(PO4)2,,,
Wollastonite,ICSD,201538,
Wuelfingite,ICSD,50447,
Wuestite,ICSD,27237,
Wurtzite,ICSD,67453,
Yeelimite,COD,4001772,
Zincite,ICSD,154486,
Zinkosite,ICSD,71018,
Zircon,ICSD,9582,
